Book Name,Author,Type,Genre,Language,Small Description
Deep Work,Cal Newport,Productivity,Self-improvement,English,Strategies for focused and meaningful work.
The Discovery of India,Jawaharlal Nehru,History,Indian History,English,Exploration of Indian history and culture.
Annihilation of Caste,B.R. Ambedkar,Social Critique,Politics / Society,English,Powerful critique of the caste system.
Why I Am an Atheist,Bhagat Singh,Essay,Philosophy / Politics,English,Essay discussing rationalism and atheism.
The Republic,Plato,Philosophy,Political Philosophy,English,Classical philosophical dialogue about justice and society.
1984,George Orwell,Novel,Dystopian Fiction,English,Classic dystopian novel about surveillance and authoritarianism.
Animal Farm,George Orwell,Novel,Political Satire,English,Political allegory based on the Russian Revolution.
Mein Kampf,Adolf Hitler,Political,Autobiography / Ideology,English,Autobiographical and political manifesto by Adolf Hitler.
Long Walk to Freedom,Nelson Mandela,Autobiography,Political Memoir,English,Autobiography of Nelson Mandela’s life and struggle.
Capital,Karl Marx,Economics,Political Economy,English,Foundational critique of capitalism and economics.
Asura,Anand Neelakantan,Novel,Mythological Fiction,English,Ramayana retold from Ravana’s perspective.
False Allies,Manu S. Pillai,History,Indian History,English,Historical exploration of alliances and politics in India.
,,,,,
Can’t Hurt Me,David Goggins,Self-help,Motivational,English,Memoir and self-discipline guide by David Goggins.
Three Cups of Tea,Greg Mortenson & David Oliver Relin,Biography,Inspirational,English,Story about education and humanitarian work in Pakistan and Afghanistan.
The Doctor and the Saint,Arundhati Roy,Political Essay,Politics / Society,English,"Examination of Ambedkar, Gandhi, and caste politics."
Azadi,Arundhati Roy,Essays,Politics / Society,English,"Collection of essays on freedom, politics, and democracy."
Man-Eaters of Kumaon,Jim Corbett,Adventure,Wildlife,English,Classic hunting and wildlife stories set in India.
You Can,George Matthew Adams,Self-help,Motivational,English,Inspirational guide encouraging self-confidence and persistence.
Devil’s Advocate,Karan Thapar,Memoir / Journalism,Political Interviews,English,Insights from Karan Thapar’s journalism career and interviews.
Becoming,Michelle Obama,Memoir,Autobiography,English,Memoir of former First Lady Michelle Obama.
The Diary of a Young Girl,Anne Frank,Diary,Historical Memoir,English,World-famous diary written during World War II.
A Century Is Not Enough,Sourav Ganguly,Autobiography,Sports Memoir,English,"Memoir of former Indian cricket captain Sourav Ganguly reflecting on cricket, leadership, controversies, and personal life."
Man’s Search for Meaning,Viktor Frankl,Psychology / Memoir,Existential Psychology,English,Profound book combining Viktor Frankl’s experiences in Nazi concentration camps with his philosophy that humans can find meaning even in suffering.
Who Will Cry When You Die,Robin Sharma,Self-help,Motivation / Life Lessons,English,Collection of short life lessons and reflections focused on meaningful living and personal growth.
Who Moved My Cheese?,Spencer Johnson,Self-help,Motivation / Business,English,Simple allegorical story about adapting to change in life and work.
Kaizen,Sarah Harvey,Self-help,Productivity / Lifestyle,English,Introduction to the Japanese philosophy of continuous self-improvement through small daily habits.
The 48 Laws of Power,Robert Greene,Self-help / Strategy,Psychology / Power Dynamics,English,"Influential book exploring power, manipulation, leadership, and social strategy through historical examples and psychological insights."
